geometry,addr_country,amenity,emergency,healthcare,name,name_etymology_wikidata,healthcare_speciality,addr_city,addr_street,addr_district,addr_full,addr_postcode,addr_state,source,addr_housenumber,phone,website,wikidata,operator,name_en,email,internet_access,opening_hours,survey_date,description,operator_type,addr_subdistrict,contact_phone,time,services,contact_website,building,level,Latitude,Longitude,Region
POINT (79.093179 21.182448),,hospital,,,Rughwani Child Care Centre and Hospital,,,,,Nagpur,"# 22, Sindhu Society, Mohanlal Rughwani Marg, Jaripatka",440014.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1824485,79.09317930000002,North
POINT (79.072139 21.114003),,hospital,,,Dharmadhikari Hospital,,,,,Nagpur,"77, Hindustan Colony, Wardha Road",440015.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1140033,79.0721387,Central
POINT (79.078948 21.13439),,hospital,,hospital,Shiv Ganga Hospital and Critical Care Centre,,,,,Nagpur,"24/A, Behind Mount Carmel School, Near Lokmat Square , Dhantoli",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1343905,79.0789475,Central
POINT (79.062597 21.1421),,hospital,,hospital,Dr. Uddanwadikar Maternity and Eye Hospital,,,,,Nagpur,"4, Hanuman Mandir Road, Khare Town, Dharampeth Near Coffee House Square",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1420996,79.0625967,Central
POINT (79.121621 21.15945),,hospital,,hospital,Khidmat Charitable Hospital and Research Centre,,,,,Nagpur,"167/2 A, Shantinagar",440002.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1594502,79.1216214,Central
POINT (79.112507 21.149284),,hospital,,hospital,Saboo Hospital,,,,,Nagpur,"Umiya Chambers, Darodkar Chowk , Central Avenue Road",440032.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1492842,79.1125066,Central
POINT (79.061136 21.145741),,hospital,,hospital,Sparsh Clinics,,,,,Nagpur,"40-A, Tilak Nagpur, Off West High Court Road",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.145740799999995,79.0611362,Central
POINT (79.10288 21.188991),,hospital,,,Anantwar Eye Hospital,,,,,Nagpur,"No. 500, Powergrid Square,Nari Ring Road,Opposite Jagat Hall",440026.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1889909,79.1028795,North
POINT (79.078028 21.133193),,hospital,,hospital,Shat Ayu Critical Care Polytrauma Centre and Multispeciality Hospital,,,,,Nagpur,"No. 8, Wardha Road",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1331934,79.0780275,Central
POINT (79.084284 21.170971),,hospital,,,Suraj Eye Institute - Nagpur,,,,,Nagpur,"559, New Colony, Nagpur Lane Opposite Play School Kindergarden Lane Opposite Play School Kindergarden",440001.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.170971,79.0842837,Central
POINT (79.067689 21.102908),,hospital,,,Sarakshi Netralaya,,,,,Nagpur,"A-201, 2nd Floor, Neeti Gaurav Complex, 21 Central Bazar Road, New Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.102908300000003,79.0676889,South
POINT (79.080669 21.13199),,hospital,,hospital,Avanti Institute Of Cardiology,,,,,Nagpur,5 Abiyankar Road Abiyankar Road,440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.13199,79.0806694,Central
POINT (79.115637 21.130042),,hospital,,hospital,Lotus Hospitaland Research Centre and Maternity Home,,,,,Nagpur,"205, Omnagar Sakkardara Police Station Road, Tiranga Sq",440009.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1300424,79.1156374,Central
POINT (79.06354 21.139856),,hospital,,hospital,"Sankalp Maternity Hospital, Nagpur",,,,,Nagpur,"11, Khare Town , Dharampeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1398562,79.0635395,Central
POINT (79.078423 21.137849),,hospital,,hospital,Gandhi Hospital,,,,,Nagpur,"C1,Shreevardhan Complex,First Floor,Wardha Road,Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1378492,79.0784231,Central
POINT (79.100786 21.173255),,hospital,,,Mukerji Nursing Home and Research Centre,,,,,Nagpur,"Ground Floor, Kamla Towers, Beside Jaswant Inox, Indora Chowk",440017.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1732546,79.10078600000001,Central
POINT (79.10083 21.173177),,hospital,,,Ambade Eye Hospital,,,,,Nagpur,"1st Floor,Kamla Towers, Near Jaswant Talkies, Indora Chowk,Kamptee Road",440002.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1731771,79.1008303,Central
POINT (79.118026 21.130661),,hospital,,,Rajgire Hospital,,,,,,,,,,,,,,,,,,,2019-12-22,,,,,,,,,,21.1306606,79.1180256,Central
POINT (79.076593 21.135691),,hospital,,hospital,Rajan Neonatal Care Unit,,,,,Nagpur,"B/303, 3rd Floor, Neeti Gaurav Complex, Ramdaspeth",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1356908,79.07659310000001,Central
POINT (79.105853 21.154327),,hospital,,hospital,"Vyas Hospital, Gandhibagh",,,,,Nagpur,"Tin -Nai Chowk, Gandhibagh",440022.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1543273,79.1058527,Central
POINT (79.098316 21.130765),,hospital,,,Deoghare Hospital,,,,,Nagpur,"Below Cancer Hospital, Near Medical Chowk, Hanuman Nagar",440018.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1307648,79.0983157,Central
POINT (79.079953 21.138628),,hospital,,hospital,Suprathet Hospital,,,,,Nagpur,"First Floor, Rajkamal Commercial Complex, Opposite Tilak Patrakar Bhawan, Panchsheel Square",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1386285,79.0799533,Central
POINT (79.124288 21.148723),,hospital,,hospital,Anuradha Back Pain and Endoscopic Spinal Surgery Centre,,,,,Nagpur,"274, Lakadgang Layout, ,Chaprunagar Chowk, C A Road",440008.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1487226,79.1242875,Central
POINT (79.070446 21.132851),,hospital,,hospital,Krims Apollo Hospital,,,,,Nagpur,Central Bazar Road,440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1328507,79.0704462,Central
POINT (79.074158 21.134072),,hospital,,hospital,Gananam Surgical and Maternity Home,,,,,Nagpur,"Aashirwad commercial Complex 34/2, Farmland, Central Bazar Road, Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1340716,79.0741584,Central
POINT (79.063297 21.13679),,hospital,,hospital,Matru Sewa Sangh,,,,,Nagpur,Sitabulding,440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1367904,79.0632968,Central
POINT (79.116738 21.125857),,hospital,,hospital,Shree Hospitals and Critical Care Centre,,,,,Nagpur,"799, Omnagar Opp Tajshree Tower,Sakkadara Square",440024.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1258567,79.1167384,Central
POINT (79.070752 21.132947),,hospital,,hospital,Marathe Child Care Hospital,,,,,Nagpur,"310, 3Road Floor, Aashirwad Commercial Complex, Central Bazar Road, Ramaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.132947,79.070752,Central
POINT (79.114506 21.129677),,hospital,,hospital,Green City Multispeciality Hospital,,,,,Nagpur,"8, Near Dhantoli Police Station,Mehadia Chowk",440002.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1296767,79.1145059,Central
POINT (79.103466 21.104815),,hospital,,hospital,"Keshav Hospital, Nagpur",,,,,Nagpur,"117, Manewada Sq. Ring Road , Nagpur,Maharashtra,",440001.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.104815099999986,79.1034655,South
POINT (79.032949 21.118266),,hospital,,,Akruti Hospital,,,,,Nagpur,"Ring Road, Jaitala Square",440019.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1182656,79.0329489,West
POINT (79.097733 21.15666),,hospital,,hospital,Hadi Children Hospital,,,,,Nagpur,Mominpura,440018.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.156660500000005,79.097733,Central
POINT (79.117423 21.125258),,hospital,,hospital,Mother and Child Care Hospital,,,,,Nagpur,"805, Bhande Plot Chowk, Sudampuri, Umred Road",440009.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.125258099999996,79.1174231,Central
POINT (79.068605 21.136218),,hospital,,hospital,Sunflower Hospitals,,,,,Nagpur,"Maya, 3, East High Court Road, New Ramdaspeth",440011.0,Maharashtra,OpenGovernmentData,,,https://www.sunflowershospitals.com/,,,,sunflowerhospitals@gmail.com,,,,,,,,,,,,,21.1362178,79.0686049,Central
POINT (79.114428 21.129159),,hospital,,hospital,Dashputra Hospital,,,,,Nagpur,"208, Anand Nagar, Opposite Sakkardara Police Station",440009.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1291592,79.1144277,Central
POINT (79.08041 21.137546),,hospital,,hospital,Mahajan Children Hospital,,,,,Nagpur,"W Park Rd, Opposite Big Bazaar, Dhantoli",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,0712 246 0789,,,,,,21.1375455,79.0804095,Central
POINT (79.103245 21.156684),,hospital,,hospital,Dorlikar Orthopaedic bone Hospital,,,,,Nagpur,"Golibar chowk, Timki Road, Panchpaoli",440018.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1566836,79.1032447,Central
POINT (79.1014 21.156564),,hospital,,hospital,Faheem Qureshi Hospital,,,,,Nagpur,"Timki, Hansapuri,Mominpura Road",440018.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1565637,79.1013995,Central
POINT (79.075514 21.134502),,hospital,,hospital,"Dr. Alankar A Ramteke, Arthritis & Joint Replacement Clinic",,,,,Nagpur,"C-21, 4th Floor, Yugadharm Complex, Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1345018,79.0755145,Central
POINT (79.074786 21.133785),,hospital,,hospital,Bodhankar Childrens Hospital,,,,,Nagpur,"Shar-Hari Apartment, opposite Somalwar Junior College & Somalwar High School",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.133784800000004,79.0747858,Central
POINT (79.06349 21.12591),IN,hospital,,hospital,Torney Maternity And Laparoscopy Hospital,,,Nagpur,South Ambazari Road,Nagpur,"Ambazari Rd, Near Laxmi Nagar Square, Laxmi Nagar",440022.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1259103,79.0634899,Central
POINT (79.094649 21.15405),,hospital,,hospital,Indira Gandhi Government Medical College and Hospital,Q1149,,,,Nagpur,"Central Avenue Road, Mominpura",440018.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,Medical Colleges Hospital,,Nagpur (Urban),,,,,,,21.15405,79.094649,Central
POINT (79.129212 21.119365),,hospital,,,Super speciality Hospital,,,,,Nagpur,"Super speciality Hospital, Hanuman Nagar",440009.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,Nagpur (Urban),,,,,,,21.119365,79.12921200000001,East
POINT (79.090839 21.13521),,hospital,,hospital,"Isolation Hospital Imamwada, Nagpur",,,,,Nagpur,"Rmabagh Road, Rambagh, Imamwada",440003.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,Nagpur (Urban),,,,,,,21.135210000000004,79.090839,Central
POINT (79.102462 21.175538),,hospital,,,"Dr. Babasaheb Ambedkar Hospital and Research Centre, Nagpur",,,,,Nagpur,"338, Kamptee Road, New Indora, Nagpur",440002.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,District Hospital,,Nagpur (Urban),,,,,,,21.1755377,79.1024618,Central
POINT (79.06574 21.208788),,hospital,,,Barade Nursing Home,,,,,Nagpur,"Godhani Road, Nagpur",441111.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.2087879,79.0657403,North
POINT (79.069935 21.185542),,hospital,,,Mujawar Nursing Home,,,,,Nagpur,"Awastinagar Road, Near Ring Road, Mansarovar Colony, Jafar Nagar, New Mankapur, Nagpur",440013.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1855423,79.0699354,North
POINT (79.09146 21.172798),,hospital,,,Jamshed Ji Tata Municipal Hospital,,,,,Nagpur,"Bezonbagh, Nagpur",440003.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1727983,79.0914599,Central
POINT (79.101071 21.172099),,hospital,,,Parlewar Hospital,,,,,Nagpur,"Buddha Nagar, Balabhaupeth, Nagpur",440002.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.172099,79.1010707,Central
POINT (79.083428 21.144979),,hospital,,hospital,Dik Hospital,,,,,Nagpur,"Sitabuldi, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.144979,79.083428,Central
POINT (79.084802 21.154584),,hospital,,hospital,Kingsway Hospitals,,,,,Nagpur,"Kingsway Road, Near Kasturchand Park, Mohan Nagar, Nagpur",440001.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,07:00 am to 10:00 am,,,,,21.154584,79.0848019,Central
POINT (79.096272 21.152421),,hospital,,hospital,Yadav Multispeciality Hospital,,,,,Nagpur,"Dosar Veshya Bhawan Chowk, Central Avenue Road, Opp. Hotel Skylark, Nagpu",440018.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.152421000000004,79.096272,Central
POINT (79.096779 21.164788),,hospital,,,Dr. Wahane Nursing Home,,,,,Nagpur,"Plot No.29, Kashmiri Gali, Lashkari Bagh Road, Ansar Nagar, Bhosarewadi, Nagpur",440017.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.164788000000005,79.096779,Central
POINT (79.081486 21.131159),,hospital,,hospital,Heart Hospital,,,,,Nagpur,"Dhantoli, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1311587,79.0814864,Central
POINT (79.079033 21.169052),,hospital,,,Metro Multi Speciality Hospital,,,,,Nagpur,"Chhaoni Square, Chhindwara Road, Nagpur",440013.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.169052,79.0790331,Central
POINT (79.094075 21.173418),,hospital,,,Nalin Hospital,,,,,Nagpur,"Chaitanya Apartment, Clarke Town, Bezonbagh, Nagpur",440004.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1734185,79.0940751,Central
POINT (79.062356 21.183289),,hospital,,,Osmania Nursing Home,,,,,Nagpur,"Jafar Nagar Road, Rathod Layout, New Mankapur, Nagpur",440013.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.183288999999995,79.0623556,North
POINT (79.084511 21.137428),,hospital,,hospital,Green City Hospital,,,,,Nagpur,"Police Station, Tikekar Road, Mehadia Square, Near Dhantoli, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.137428,79.084511,Central
POINT (79.082406 21.157616),,hospital,,,VIMS Hospital,,,,,Nagpur,"Kamptee Road, LIC Square, Mohan Nagar, Nagpur",440001.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.157615499999995,79.0824063,Central
POINT (79.097229 21.164649),,hospital,,,Life Line Hospital,,,,,Nagpur,"Bhoslewadi, Lashkari Bagh, Awale Chowk, Bhankhera, Kamaal Chok, Nagpur",440017.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.164649000000004,79.0972288,Central
POINT (79.097981 21.172195),,hospital,,,Dapke Children Hospital,,,,,Nagpur,"Shree Complex, Near Indora Police Chowki, Indora, Bezonbagh, Nagpur",440004.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.172195,79.097981,Central
POINT (79.101871 21.158751),,hospital,,hospital,Multani Hospital,,,,,Nagpur,"Darodkar Square, Itwari, Highschool, Darodkar Square, Nagpur",440002.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.158751,79.101871,Central
POINT (79.053714 21.146752),,hospital,,,Dr. B.R. Shukla Hospital,,,,,Nagpur,"Telankhedi, Near Agrasen Chhatravas, Amravati Road, Ram Nagar, Nagpur",440010.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.146752000000003,79.0537139,Central
POINT (79.112954 21.180741),,hospital,,,Best Orthopaedic Surgeon,,,,,Nagpur,"Kamptee Road, Next to Go gas Pump, Teka Naka, Nagpur",440017.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1807407,79.1129537,North
POINT (79.100238 21.171868),,hospital,,,Nitnavare Hospital,,,,,Nagpur,"Dr Ambedkar Road, Bharat Jyoti Society, Bezonbagh, Nagpur",440002.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1718675,79.1002384,Central
POINT (79.09704 21.158882),,hospital,,hospital,Central Hospital,,,,,Nagpur,"Kabrastan Road, Bakramandi, Mominpura, Nagpur",440018.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1588822,79.0970395,Central
POINT (79.061766 21.138907),,hospital,,hospital,Sai Eye Hospital,,,,,Nagpur,"Nanaji Shastri Marg, Behind Batuk Bhai Jewellers, Khare Town, Dharampeth, Nagpur",440010.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1389067,79.0617659,Central
POINT (79.052967 21.146746),,hospital,,,Dr. Vasalti Raut General Hospital,,,,,Nagpur,"Ram Nagar, Nagpur",440010.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.146746,79.052967,Central
POINT (79.083478 21.133639),,hospital,,hospital,Dr. Pandit Hospital,,,,,Nagpur,"Omkar Towers, Tikekar Road, Dhantoli, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.133639,79.0834775,Central
POINT (79.083924 21.132975),,hospital,,hospital,Super Hospital,,,,,Nagpur,"Humpyard Road, Choti Dhantoli, Dhantoli, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.132974899999997,79.0839237,Central
POINT (79.082906 21.129759),,hospital,,hospital,Safal Hospital,,,,,Nagpur,"Deodia Congress Bhawan, Chandrapur - Mul - Nagbhir - Nagpur Highway, Chhota Loharpura, Gandhibagh, Nagpur,",440018.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.129758899999995,79.0829058,Central
POINT (79.078871 21.137766),,hospital,,hospital,Arora Hospital,,,,,Nagpur,"Shree Vardhan Complex, Vardha Road, Ramdaspeth, Near Big Bazar, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.137766000000003,79.078871,Central
POINT (79.084542 21.137122),,hospital,,hospital,"Dr. Yogesh Waikar Child Gastroenterologist, Hepatologist & Endoscopist",,,,,Nagpur,"Dhantoli, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1371222,79.0845415,Central
POINT (79.091212 21.173214),,hospital,,,Bocardo Hospital,,,,,Nagpur,"Mecosabagh Christian Colony, Nagpur",440003.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.173214399999992,79.0912115,Central
POINT (79.077813 21.19086),,hospital,,,Madnani Hospital,,,,,Nagpur,"Zingabai Takali Road, Adarsh Nagar, Nagpur",440030.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.19086,79.0778128,North
POINT (79.079189 21.183612),,hospital,,,Kunal Hospital,,,,,Nagpur,"Koradi Road, Mankapur, Chowk, Jafar Nagar, Naxen Society, Nagpur",440030.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1836122,79.079189,North
POINT (79.055454 21.177244),,hospital,,,Welkin Multispeciality Hospital,,,,,Nagpur,"Bupeshnagar, Nagpur",440013.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.177244500000004,79.055454,North
POINT (79.041272 21.1498),,hospital,,,Royal Hospital,,,,,Nagpur,"Seminary Hills, Nagpur",440021.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.149799999999995,79.041272,West
POINT (79.064761 21.18363),,hospital,,,Kalbande Hospital,,,,,Nagpur,"Sahayognagar, Behind Police Linetakli, Nagpur",440013.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1836297,79.0647607,North
POINT (79.050186 21.148378),,hospital,,,Icon Hospital - Super speciality Hospital,,,,,Nagpur,"Amravati Road, Bharatnagar, Nagpur",440033.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1483782,79.0501856,Central
POINT (79.079879 21.13807),,hospital,,hospital,Colours Children Hospital,,,,,Nagpur,"3rd Jasleen Big Bazar Panchsheel Square, Dhantoli, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.138069600000005,79.079879,Central
POINT (79.060608 21.182236),,hospital,,,Meher Nursing Home,,,,,Nagpur,"Meher Kripa, Near Aashirwad Provision, Nagpur",440013.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1822365,79.0606076,North
POINT (79.079639 21.186813),,hospital,,,Usha Memorial Hospital,,,,,Nagpur,"Chhindwara Road, Behind Bank Of India, New Mankapur, Nagpur",440030.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1868133,79.0796389,North
POINT (79.085834 21.183222),,hospital,,,Apex Hospital,,,,,Nagpur,"Dayanand Park Road, Near CMPDI, Kasturba Nagar, Jaripatka, Nagpur",440014.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.183222200000003,79.0858336,North
POINT (79.085301 21.140541),,hospital,,hospital,Criticare Hospital & Research Institute,,,,,Nagpur,"Dhanshri Complex, 4th Floor, Humpyard Road, Near Hardeo Hotel, Sitabuldi, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.140541200000005,79.0853012,Central
POINT (79.075048 21.134379),,hospital,,hospital,Nectar Hospital,,,,,Nagpur,"Central Bazar Road, Near Somalwar High School, Ramdaspeth, Nagpur",440010.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.134379,79.075048,Central
POINT (79.079683 21.136587),,hospital,,hospital,Columbia Hospital,,,,,Nagpur,"Hayatt Building, 3rd Floor, Dhantoli, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.136587,79.0796834,Central
POINT (79.071641 21.190002),,hospital,,,Arogyam Superspeciality Hospital,,,,,Nagpur,"Zingabai Takali Road, Nagpur",440030.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.190002,79.071641,North
POINT (79.056722 21.144719),,hospital,,hospital,Dande Hospital,,,,,Nagpur,"Hill Road, Ram Nagar, Nagpur",440010.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.144718699999995,79.0567217,Central
POINT (79.108579 21.175561),,hospital,,,Dr. M Hospital,,,,,Nagpur,"Teka Naka Kamptee Road, Teka Naka, Nagpur",440017.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.175561,79.1085787,Central
POINT (79.103654 21.152424),,hospital,,hospital,Orthonova Hospital,,,,,Nagpur,"2nd Floor, Lal Imli Chowk, Gandhibag, Above Oriental Bank of Commerce, Nagpur",440002.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1524244,79.1036542,Central
POINT (79.076631 21.174145),,hospital,,,Dr. Mohammad Zakir,,,,,Nagpur,"Vijay Nagar Road, Rajnagar, Nagpur",440013.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.174144700000003,79.0766306,Central
POINT (79.085243 21.138068),,hospital,,hospital,Neuron Hospital,,,,,Nagpur,"Police Station Road, Opp. Dhantoli, Ramdaspeth, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1380677,79.0852427,Central
POINT (79.078278 21.132486),,hospital,,hospital,Nelson Mother and Child Care Hospital,,,,,Nagpur,"Behind Hitavada Press, Dhantoli, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.132485700000004,79.0782776,Central
POINT (79.058237 21.140928),,hospital,,hospital,Chinmaya Children & Surgical Hospital,,,,,Nagpur,"Library, Ramkrishna Apartment, 1st Floor, Near Rajaram Dixit, Gokulpeth, Nagpur",440010.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1409282,79.058237,Central
POINT (79.103885 21.177014),,hospital,,,Tirpude Hospital,,,,,Nagpur,"Chalks Colony, Kamptee Road, Nagpur",440026.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1770142,79.103885,Central
POINT (79.082129 21.134065),,hospital,,hospital,Wockartd Hospital,,,,,Nagpur,"Balraj Marg, Dhantoli, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1340647,79.0821294,Central
POINT (79.098436 21.172552),,hospital,,,Godani Multi Speciality Hospital,,,,,Nagpur,"Kamptee Road, Indora, New Indora, Nagpur",440004.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.172552,79.098436,Central
POINT (79.051245 21.175758),,hospital,,hospital,R. R. Nursing Home,,,,,Nagpur,"Katol Road, KT Nagar, Nagpur",440013.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.175757900000004,79.0512447,West
POINT (79.091945 21.183386),,hospital,,,Gurbani Hospital,,,,,Nagpur,"Dayanand Park Road, Jaripatka, Nagpur",440014.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1833863,79.0919452,North
POINT (79.099834 21.171902),,hospital,,,Shashwat Hospital,,,,,Nagpur,"Nirmal Bhavan, Dr BR Ambedkar Marg, Indora, Chowk, Nagpur",440017.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1719022,79.0998343,Central
POINT (79.096258 21.170172),,hospital,,,Venus Critical Care Hospital,,,,,Nagpur,"Kamptee Road, Dobi Nagar, Bezonbagh, Nagpur",440014.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1701724,79.0962576,Central
POINT (79.08308 21.132706),,hospital,,hospital,Pandit Maternity & Nursing Home,,,,,Nagpur,"Humpyard Road, Dhantoli, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1327063,79.0830804,Central
POINT (79.078536 21.134868),,hospital,,hospital,Healthcity Children Hospital,,,,,Nagpur,"Aurangabad-Nagpur Road, Lokmat Square, Dhantoli, Nagpur",440012.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.134867499999995,79.0785363,Central
POINT (79.117612 21.149097),,hospital,,hospital,Manorama Hospital,,,,,Nagpur,"Central Avenue, Queta Colony, Wardhaman Nagar Colony, Nagpur",440008.0,Maharastra,Local Knowledge,,,,,,,,,,,,,,,,,,,,21.1490972,79.1176121,Central
